  den  loop_w  clamp_w  delay Hz  verdict
 0.08     2.0      3.0       0.0  starved
 0.08     2.0      4.0       0.0  starved
 0.08     2.0      5.0       0.0  starved
 0.08     2.0      6.0       0.0  starved
 0.08     3.0      3.0       0.0  starved
 0.08     3.0      4.0       0.0  starved
 0.08     3.0      5.0       0.0  starved
 0.08     3.0      6.0       0.0  starved
 0.12     2.0      3.0       0.0  starved
 0.12     2.0      4.0       0.1  starved
 0.12     2.0      5.0       0.0  starved
 0.12     2.0      6.0       0.0  starved
 0.12     3.0      3.0       0.2  starved
 0.12     3.0      4.0       0.0  starved
 0.12     3.0      5.0       0.0  starved
 0.12     3.0      6.0       0.1  starved
 0.16     2.0      3.0       0.0  starved
 0.16     2.0      4.0       0.0  starved
 0.16     2.0      5.0       0.0  starved
 0.16     2.0      6.0       0.0  starved
 0.16     3.0      3.0       0.6  starved
 0.16     3.0      4.0       0.3  starved
 0.16     3.0      5.0       0.0  starved
 0.16     3.0      6.0       0.0  starved
 0.20     2.0      3.0       0.3  starved
 0.20     2.0      4.0       0.0  starved
 0.20     2.0      5.0       0.0  starved
 0.20     2.0      6.0       0.1  starved
 0.20     3.0      3.0       3.5  OK
 0.20     3.0      4.0       1.6  starved
 0.20     3.0      5.0       0.7  starved
 0.20     3.0      6.0       0.6  starved
 0.25     2.0      3.0       1.2  starved
 0.25     2.0      4.0       0.4  starved
 0.25     2.0      5.0       0.2  starved
 0.25     2.0      6.0       0.0  starved
 0.25     3.0      3.0     134.2  runaway
 0.25     3.0      4.0      14.6  OK
 0.25     3.0      5.0       3.4  OK
 0.25     3.0      6.0       1.4  starved
